"Name,immune,neuronal,respiratory,cancer,gastrointestinal,infectious"
"Carrot,0,0,0,1,0,1"
"Cranberry,0,0,0,1,0,0"
"Asafetida,0,1,1,1,1,1"
"Ivy,0,1,0,1,0,1"
"Saffron,0,1,0,1,0,0"
"Capsicum,0,1,0,0,0,0"
"Cumin,0,0,0,0,1,0"
"Ajowan,0,0,1,0,0,1"
"Garlic,0,1,1,1,1,1"
"Fennel,0,0,1,0,1,0"
"Bayleaf,0,0,0,1,0,1"
"Jasmine,0,0,0,0,0,1"
"Caraway,0,0,0,1,1,1"
"Pineapple,0,0,0,0,1,0"
"Cardamom,0,0,1,0,0,0"
"Cloves,0,0,0,0,1,1"
"Star anise,0,0,0,0,1,0"
"Nutmeg,1,0,0,0,0,0"
"Castor,0,1,1,1,0,1"
"Black cumin,0,0,1,1,1,0"
"Oats,0,1,0,0,0,0"
"Grape,0,1,0,1,0,0"
"Broccoli,0,0,0,1,0,0"
"Lemon,0,1,0,0,0,0"
"Thyme,1,1,0,1,0,1"
"Grapefruit,0,0,0,0,0,1"
"Peanut,0,0,0,0,0,1"
"Coffee,0,0,0,0,1,0"
"Parsley,0,0,0,0,0,1"
"Flax,1,0,1,0,1,1"
"Avocado,0,0,0,1,0,0"
"Angelica,0,0,0,0,1,0"
"Mango,0,0,0,0,1,0"
"Sesame,0,1,0,0,1,0"
"Cinnamon,0,0,1,1,1,1"
"Turmeric,0,0,1,1,1,0"
"Black pepper,0,1,0,0,1,1"
"Chickpea,0,1,0,0,1,0"
"Mustard,0,0,0,1,0,0"
"Asparagus,0,0,0,1,1,0"
"Cashew,0,0,0,1,0,0"
"Sweet marjoram,0,0,0,1,0,1"
"Radish,0,0,0,0,1,0"
"Banana,0,0,1,0,1,1"
"Strawberry,0,0,0,0,1,0"
"Fenugreek,1,0,0,0,0,0"
"Beet,0,0,0,1,0,0"
"Papaya,0,0,0,1,0,1"
"Orange,0,0,0,0,0,1"
"Hot pepper,0,0,0,0,0,1"
"Camphor,0,0,0,1,0,0"
"Onion,0,1,0,0,0,1"
"Ginger,1,0,1,1,1,0"
"Opium poppy,0,1,0,1,1,1"
"Anise,0,0,1,0,0,0"
"Sage,0,0,1,0,1,0"
"Almond,0,0,0,0,0,1"
"Pomegranate,0,0,0,0,1,1"
"Canola,0,0,0,1,0,0"
"Celery,0,0,0,1,0,1"
"Coconut,0,0,1,0,0,0"
