Spice,Andhra,Bengali,Goan,Gujarati,Hyderabadi,Jain,Karnataka,Kashmiri,Kerala,Maharashtrian,Mughlai,Parsi,Punjabi,Rajasthani,Sindhi,South Indian,Tamil Nadu,Uttar Pradesh
hot pepper,0.8461538461538461,0.6594982078853047,0.8461538461538461,0.8381839348079162,0.7941176470588235,0.7777777777777778,0.8,0.6382978723404256,0.7874015748031497,0.7382920110192838,0.6761904761904762,0.8431372549019608,0.8974189278623428,0.810077519379845,0.75,0.7969303423848878,0.8875739644970414,0.5964912280701754
cumin,0.36538461538461536,0.32974910394265233,0.5128205128205128,0.459837019790454,0.4823529411764706,0.4158730158730159,0.28,0.3404255319148936,0.2283464566929134,0.40771349862258954,0.34285714285714286,0.6078431372549019,0.42819324950363996,0.5077519379844961,0.4090909090909091,0.33293978748524206,0.378698224852071,0.38596491228070173
coriander,0.5,0.34767025089605735,0.5384615384615384,0.5774155995343423,0.611764705882353,0.47619047619047616,0.48,0.19148936170212766,0.4409448818897638,0.571625344352617,0.5095238095238095,0.6470588235294118,0.5883520847121112,0.5387596899224806,0.6136363636363636,0.4604486422668241,0.5443786982248521,0.35964912280701755
cabbage,0.0,0.021505376344086023,0.01282051282051282,0.023282887077997673,0.011764705882352941,0.047619047619047616,0.0,0.0,0.007874015748031496,0.004132231404958678,0.009523809523809525,0.0,0.021178027796161483,0.007751937984496124,0.0,0.03659976387249114,0.005917159763313609,0.0
onion,0.5,0.33691756272401435,0.717948717948718,0.13853317811408614,0.6529411764705882,0.025396825396825397,0.4,0.3404255319148936,0.4015748031496063,0.3402203856749311,0.44761904761904764,0.6470588235294118,0.4983454665784249,0.28294573643410853,0.5681818181818182,0.3317591499409681,0.3431952662721893,0.2719298245614035
peanut,0.09615384615384616,0.03225806451612903,0.01282051282051282,0.08963911525029103,0.1,0.06349206349206349,0.056,0.02127659574468085,0.031496062992125984,0.16666666666666666,0.009523809523809525,0.0,0.017207147584381206,0.015503875968992248,0.022727272727272728,0.043683589138134596,0.05325443786982249,0.017543859649122806
garlic,0.4807692307692308,0.2616487455197133,0.6666666666666666,0.17578579743888242,0.6882352941176471,0.08571428571428572,0.272,0.23404255319148937,0.4409448818897638,0.3319559228650138,0.4380952380952381,0.7058823529411765,0.45466578424884185,0.22093023255813954,0.22727272727272727,0.16056670602125148,0.1952662721893491,0.3684210526315789
turmeric,0.38461538461538464,0.4910394265232975,0.6025641025641025,0.470314318975553,0.5411764705882353,0.39365079365079364,0.384,0.3617021276595745,0.4645669291338583,0.4669421487603306,0.3047619047619048,0.5686274509803921,0.43613500992720056,0.4689922480620155,0.5454545454545454,0.3400236127508855,0.46153846153846156,0.3684210526315789
vanilla,0.0,0.014336917562724014,0.01282051282051282,0.002328288707799767,0.0058823529411764705,0.0031746031746031746,0.008,0.0,0.007874015748031496,0.0013774104683195593,0.01904761904761905,0.0784313725490196,0.0033090668431502318,0.0,0.0,0.0011806375442739079,0.0,0.0
opium poppy,0.09615384615384616,0.06451612903225806,0.0641025641025641,0.02211874272409779,0.052941176470588235,0.01904761904761905,0.024,0.02127659574468085,0.007874015748031496,0.05234159779614325,0.11428571428571428,0.0,0.027134348113831898,0.03488372093023256,0.045454545454545456,0.018890200708382526,0.07100591715976332,0.043859649122807015
